what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457622846268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457622847205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457622882553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457622888456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457623958075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457623961772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457623968202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457623968827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457623974220
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457623975795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457623979821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457623981646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457623988976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457623990161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457623990209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624001236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624007054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624022124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624025973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624092457
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457624108288
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457624111605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624113768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624135145
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457624136415
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457624161222
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457624163243
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457624169091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624183251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624188950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624199707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624199734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624199749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624199757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624202131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624589648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624595623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624598333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624598539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457624599855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625437695
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625438513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457625444615
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457625445658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625447278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625448045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625450956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625451364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625452941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625453218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625456785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625463823
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625476161
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457625477547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625477795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625479020
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625479167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1457625483363
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625484120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1457625486474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457625486897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457625491549
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457625494180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625496744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625555225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625555235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625559650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625570518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625595888
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1457625597016
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1457625606182
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457625630778
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457625632716
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457625638809
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625644379
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457625664716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625678707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625679793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625680179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625763842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625764327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625764981
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625767365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625843937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625860434
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457625861025
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625863933
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457625884759
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625889820
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457625896748
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625897447
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1457625925190
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625926451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457625945346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457625951461
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457625952914
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625958395
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1457625958653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625967256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625967936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625969434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625971608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625973240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457625980993
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625983491
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1457625984850
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457625990336
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625991353
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1457625992327
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1457625992327
