what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991022444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991026879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991059540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991062922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991066244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991067314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991081477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991202679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991364568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991369666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991370256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991371812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991378089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991590476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991590994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991592467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457991644804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457992016079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457992286208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457992289477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457992289981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457992291734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457992295486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457992296043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457992298533
