Project: hello_world
Revision: hello_world
Flow Start Date: Tue Mar 15 19:13:45 GMT 2016
Flow End Date: Tue Mar 15 21:27:06 GMT 2016

Detailed Results
Point,base-slow-1200mV-85C,base-slow-1200mV-0C,base-fast-1200mV-0C,1-slow-1200mV-85C,1-slow-1200mV-0C,1-fast-1200mV-0C (Best),2-slow-1200mV-85C,2-slow-1200mV-0C,2-fast-1200mV-0C,3-slow-1200mV-85C,3-slow-1200mV-0C,3-fast-1200mV-0C,4-slow-1200mV-85C,4-slow-1200mV-0C,4-fast-1200mV-0C,5-slow-1200mV-85C,5-slow-1200mV-0C,5-fast-1200mV-0C,6-slow-1200mV-85C,6-slow-1200mV-0C,6-fast-1200mV-0C,7-slow-1200mV-85C,7-slow-1200mV-0C,7-fast-1200mV-0C,8-slow-1200mV-85C,8-slow-1200mV-0C,8-fast-1200mV-0C,9-slow-1200mV-85C,9-slow-1200mV-0C,9-fast-1200mV-0C,10-slow-1200mV-85C,10-slow-1200mV-0C,10-fast-1200mV-0C,11-slow-1200mV-85C,11-slow-1200mV-0C,11-fast-1200mV-0C,12-slow-1200mV-85C,12-slow-1200mV-0C,12-fast-1200mV-0C,13-slow-1200mV-85C,13-slow-1200mV-0C,13-fast-1200mV-0C,14-slow-1200mV-85C,14-slow-1200mV-0C,14-fast-1200mV-0C,15-slow-1200mV-85C,15-slow-1200mV-0C,15-fast-1200mV-0C,16-slow-1200mV-85C,16-slow-1200mV-0C,16-fast-1200mV-0C,17-slow-1200mV-85C,17-slow-1200mV-0C,17-fast-1200mV-0C,18-slow-1200mV-85C,18-slow-1200mV-0C,18-fast-1200mV-0C,19-slow-1200mV-85C,19-slow-1200mV-0C,19-fast-1200mV-0C,20-slow-1200mV-85C,20-slow-1200mV-0C,20-fast-1200mV-0C,21-slow-1200mV-85C,21-slow-1200mV-0C,21-fast-1200mV-0C,22-slow-1200mV-85C,22-slow-1200mV-0C,22-fast-1200mV-0C,23-slow-1200mV-85C,23-slow-1200mV-0C,23-fast-1200mV-0C,24-slow-1200mV-85C,24-slow-1200mV-0C,24-fast-1200mV-0C,25-slow-1200mV-85C,25-slow-1200mV-0C,25-fast-1200mV-0C,26-slow-1200mV-85C,26-slow-1200mV-0C,26-fast-1200mV-0C,27-slow-1200mV-85C,27-slow-1200mV-0C,27-fast-1200mV-0C,28-slow-1200mV-85C,28-slow-1200mV-0C,28-fast-1200mV-0C,29-slow-1200mV-85C,29-slow-1200mV-0C,29-fast-1200mV-0C,30-slow-1200mV-85C,30-slow-1200mV-0C,30-fast-1200mV-0C,31-slow-1200mV-85C,31-slow-1200mV-0C,31-fast-1200mV-0C,32-slow-1200mV-85C,32-slow-1200mV-0C,32-fast-1200mV-0C,33-slow-1200mV-85C,33-slow-1200mV-0C,33-fast-1200mV-0C,34-slow-1200mV-85C,34-slow-1200mV-0C,34-fast-1200mV-0C,35-slow-1200mV-85C,35-slow-1200mV-0C,35-fast-1200mV-0C,36-slow-1200mV-85C,36-slow-1200mV-0C,36-fast-1200mV-0C,37-slow-1200mV-85C,37-slow-1200mV-0C,37-fast-1200mV-0C,38-slow-1200mV-85C,38-slow-1200mV-0C,38-fast-1200mV-0C,39-slow-1200mV-85C,39-slow-1200mV-0C,39-fast-1200mV-0C,40-slow-1200mV-85C,40-slow-1200mV-0C,40-fast-1200mV-0C,41-slow-1200mV-85C,41-slow-1200mV-0C,41-fast-1200mV-0C,42-slow-1200mV-85C,42-slow-1200mV-0C,42-fast-1200mV-0C,43-slow-1200mV-85C,43-slow-1200mV-0C,43-fast-1200mV-0C,44-slow-1200mV-85C,44-slow-1200mV-0C,44-fast-1200mV-0C,45-slow-1200mV-85C,45-slow-1200mV-0C,45-fast-1200mV-0C,46-slow-1200mV-85C,46-slow-1200mV-0C,46-fast-1200mV-0C,47-slow-1200mV-85C,47-slow-1200mV-0C,47-fast-1200mV-0C,48-slow-1200mV-85C,48-slow-1200mV-0C,48-fast-1200mV-0C,49-slow-1200mV-85C,49-slow-1200mV-0C,49-fast-1200mV-0C,50-slow-1200mV-85C,50-slow-1200mV-0C,50-fast-1200mV-0C
All Failing Paths,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,>0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0,0,0,>0
ASMI blocks,0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % ),0 / 1 ( 0 % )
Average fan-out,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.21,3.21,3.21,3.21,3.21,3.21,3.22,3.22,3.22,3.21,3.21,3.21,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.20,3.20,3.20,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.21,3.21,3.21,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22
Average interconnect usage (total/H/V),36% / 35% / 36%,36% / 35% / 36%,36% / 35% / 36%,34% / 31% / 38%,34% / 31% / 38%,34% / 31% / 38%,35% / 34% / 37%,35% / 34% / 37%,35% / 34% / 37%,37% / 35% / 40%,37% / 35% / 40%,37% / 35% / 40%,35% / 34% / 38%,35% / 34% / 38%,35% / 34% / 38%,34% / 32% / 37%,34% / 32% / 37%,34% / 32% / 37%,36% / 33% / 41%,36% / 33% / 41%,36% / 33% / 41%,35% / 35% / 36%,35% / 35% / 36%,35% / 35% / 36%,35% / 34% / 38%,35% / 34% / 38%,35% / 34% / 38%,34% / 32% / 37%,34% / 32% / 37%,34% / 32% / 37%,34% / 32% / 36%,34% / 32% / 36%,34% / 32% / 36%,36% / 36% / 37%,36% / 36% / 37%,36% / 36% / 37%,35% / 34% / 37%,35% / 34% / 37%,35% / 34% / 37%,34% / 34% / 36%,34% / 34% / 36%,34% / 34% / 36%,36% / 35% / 37%,36% / 35% / 37%,36% / 35% / 37%,34% / 31% / 37%,34% / 31% / 37%,34% / 31% / 37%,35% / 36% / 35%,35% / 36% / 35%,35% / 36% / 35%,37% / 37% / 38%,37% / 37% / 38%,37% / 37% / 38%,36% / 37% / 35%,36% / 37% / 35%,36% / 37% / 35%,36% / 35% / 36%,36% / 35% / 36%,36% / 35% / 36%,34% / 31% / 37%,34% / 31% / 37%,34% / 31% / 37%,33% / 31% / 37%,33% / 31% / 37%,33% / 31% / 37%,35% / 33% / 38%,35% / 33% / 38%,35% / 33% / 38%,37% / 34% / 41%,37% / 34% / 41%,37% / 34% / 41%,34% / 34% / 35%,34% / 34% / 35%,34% / 34% / 35%,36% / 34% / 39%,36% / 34% / 39%,36% / 34% / 39%,34% / 32% / 37%,34% / 32% / 37%,34% / 32% / 37%,34% / 33% / 34%,34% / 33% / 34%,34% / 33% / 34%,35% / 33% / 37%,35% / 33% / 37%,35% / 33% / 37%,34% / 33% / 37%,34% / 33% / 37%,34% / 33% / 37%,34% / 34% / 35%,34% / 34% / 35%,34% / 34% / 35%,34% / 34% / 35%,34% / 34% / 35%,34% / 34% / 35%,36% / 35% / 36%,36% / 35% / 36%,36% / 35% / 36%,36% / 35% / 37%,36% / 35% / 37%,36% / 35% / 37%,33% / 32% / 35%,33% / 32% / 35%,33% / 32% / 35%,35% / 33% / 38%,35% / 33% / 38%,35% / 33% / 38%,34% / 33% / 34%,34% / 33% / 34%,34% / 33% / 34%,37% / 35% / 39%,37% / 35% / 39%,37% / 35% / 39%,35% / 34% / 37%,35% / 34% / 37%,35% / 34% / 37%,35% / 34% / 37%,35% / 34% / 37%,35% / 34% / 37%,34% / 33% / 36%,34% / 33% / 36%,34% / 33% / 36%,34% / 32% / 36%,34% / 32% / 36%,34% / 32% / 36%,34% / 34% / 35%,34% / 34% / 35%,34% / 34% / 35%,35% / 32% / 38%,35% / 32% / 38%,35% / 32% / 38%,36% / 34% / 38%,36% / 34% / 38%,36% / 34% / 38%,35% / 34% / 37%,35% / 34% / 37%,35% / 34% / 37%,33% / 31% / 36%,33% / 31% / 36%,33% / 31% / 36%,35% / 34% / 35%,35% / 34% / 35%,35% / 34% / 35%,35% / 32% / 38%,35% / 32% / 38%,35% / 32% / 38%,37% / 34% / 40%,37% / 34% / 40%,37% / 34% / 40%,36% / 35% / 37%,36% / 35% / 37%,36% / 35% / 37%
Clock Hold: 'altera_reserved_tck': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'altera_reserved_tck': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'altera_reserved_tck': Worst-case Slack,0.286 ns,0.249 ns,0.143 ns,0.289 ns,0.249 ns,0.144 ns,0.287 ns,0.249 ns,0.143 ns,0.288 ns,0.249 ns,0.144 ns,0.288 ns,0.249 ns,0.144 ns,0.288 ns,0.249 ns,0.144 ns,0.288 ns,0.249 ns,0.143 ns,0.289 ns,0.250 ns,0.144 ns,0.290 ns,0.249 ns,0.145 ns,0.287 ns,0.248 ns,0.143 ns,0.288 ns,0.249 ns,0.144 ns,0.287 ns,0.248 ns,0.143 ns,0.288 ns,0.249 ns,0.143 ns,0.289 ns,0.248 ns,0.144 ns,0.287 ns,0.250 ns,0.143 ns,0.287 ns,0.249 ns,0.143 ns,0.287 ns,0.248 ns,0.144 ns,0.288 ns,0.248 ns,0.143 ns,0.289 ns,0.249 ns,0.144 ns,0.287 ns,0.248 ns,0.143 ns,0.290 ns,0.249 ns,0.145 ns,0.288 ns,0.250 ns,0.145 ns,0.288 ns,0.248 ns,0.144 ns,0.291 ns,0.252 ns,0.145 ns,0.288 ns,0.248 ns,0.144 ns,0.289 ns,0.248 ns,0.144 ns,0.288 ns,0.249 ns,0.143 ns,0.288 ns,0.248 ns,0.143 ns,0.287 ns,0.248 ns,0.143 ns,0.287 ns,0.247 ns,0.143 ns,0.290 ns,0.249 ns,0.144 ns,0.287 ns,0.249 ns,0.144 ns,0.288 ns,0.249 ns,0.144 ns,0.289 ns,0.249 ns,0.144 ns,0.288 ns,0.249 ns,0.143 ns,0.285 ns,0.246 ns,0.144 ns,0.288 ns,0.248 ns,0.144 ns,0.288 ns,0.249 ns,0.144 ns,0.287 ns,0.247 ns,0.143 ns,0.287 ns,0.248 ns,0.142 ns,0.287 ns,0.248 ns,0.143 ns,0.286 ns,0.248 ns,0.143 ns,0.288 ns,0.250 ns,0.143 ns,0.289 ns,0.249 ns,0.143 ns,0.289 ns,0.249 ns,0.144 ns,0.287 ns,0.247 ns,0.143 ns,0.288 ns,0.248 ns,0.143 ns,0.287 ns,0.248 ns,0.143 ns,0.289 ns,0.249 ns,0.144 ns,0.288 ns,0.248 ns,0.144 ns,0.288 ns,0.249 ns,0.144 ns
Clock Hold: 'sopc_clk': Per-clock Edge TNS,0.000 ns,0.000 ns,-13.534 ns,0.000 ns,0.000 ns,-14.076 ns,0.000 ns,0.000 ns,-13.510 ns,0.000 ns,0.000 ns,-12.594 ns,0.000 ns,0.000 ns,-13.006 ns,0.000 ns,0.000 ns,-13.448 ns,0.000 ns,0.000 ns,-13.130 ns,0.000 ns,0.000 ns,-13.926 ns,0.000 ns,0.000 ns,-13.612 ns,-0.054 ns,0.000 ns,-13.585 ns,0.000 ns,0.000 ns,-13.773 ns,0.000 ns,0.000 ns,-14.292 ns,0.000 ns,0.000 ns,-13.863 ns,0.000 ns,0.000 ns,-14.174 ns,0.000 ns,0.000 ns,-13.709 ns,0.000 ns,0.000 ns,-13.988 ns,0.000 ns,0.000 ns,-13.898 ns,0.000 ns,0.000 ns,-13.685 ns,0.000 ns,0.000 ns,-13.870 ns,0.000 ns,0.000 ns,-13.678 ns,0.000 ns,0.000 ns,-14.024 ns,0.000 ns,0.000 ns,-13.588 ns,0.000 ns,0.000 ns,-13.938 ns,0.000 ns,0.000 ns,-13.909 ns,0.000 ns,0.000 ns,-13.477 ns,0.000 ns,0.000 ns,-12.481 ns,0.000 ns,0.000 ns,-13.783 ns,0.000 ns,0.000 ns,-13.587 ns,0.000 ns,0.000 ns,-13.518 ns,0.000 ns,0.000 ns,-13.983 ns,0.000 ns,0.000 ns,-13.690 ns,0.000 ns,0.000 ns,-13.864 ns,0.000 ns,0.000 ns,-13.616 ns,0.000 ns,0.000 ns,-13.734 ns,0.000 ns,0.000 ns,-13.740 ns,0.000 ns,0.000 ns,-13.743 ns,0.000 ns,0.000 ns,-13.577 ns,0.000 ns,0.000 ns,-12.864 ns,0.000 ns,0.000 ns,-13.635 ns,0.000 ns,0.000 ns,-13.647 ns,0.000 ns,0.000 ns,-13.627 ns,0.000 ns,0.000 ns,-13.538 ns,0.000 ns,0.000 ns,-13.410 ns,0.000 ns,0.000 ns,-13.658 ns,0.000 ns,0.000 ns,-13.541 ns,0.000 ns,0.000 ns,-13.945 ns,0.000 ns,0.000 ns,-13.751 ns,0.000 ns,0.000 ns,-13.910 ns,0.000 ns,0.000 ns,-13.255 ns,0.000 ns,0.000 ns,-14.106 ns,0.000 ns,0.000 ns,-13.901 ns
Clock Hold: 'sopc_clk': Per-clock Keeper TNS,0.000 ns,0.000 ns,-2.709 ns,0.000 ns,0.000 ns,-2.808 ns,0.000 ns,0.000 ns,-2.699 ns,0.000 ns,0.000 ns,-2.532 ns,0.000 ns,0.000 ns,-2.598 ns,0.000 ns,0.000 ns,-2.678 ns,0.000 ns,0.000 ns,-2.621 ns,0.000 ns,0.000 ns,-2.774 ns,0.000 ns,0.000 ns,-2.730 ns,-0.018 ns,0.000 ns,-2.729 ns,0.000 ns,0.000 ns,-2.753 ns,0.000 ns,0.000 ns,-2.851 ns,0.000 ns,0.000 ns,-2.763 ns,0.000 ns,0.000 ns,-2.819 ns,0.000 ns,0.000 ns,-2.735 ns,0.000 ns,0.000 ns,-2.793 ns,0.000 ns,0.000 ns,-2.782 ns,0.000 ns,0.000 ns,-2.749 ns,0.000 ns,0.000 ns,-2.763 ns,0.000 ns,0.000 ns,-2.726 ns,0.000 ns,0.000 ns,-2.801 ns,0.000 ns,0.000 ns,-2.714 ns,0.000 ns,0.000 ns,-2.781 ns,0.000 ns,0.000 ns,-2.782 ns,0.000 ns,0.000 ns,-2.689 ns,0.000 ns,0.000 ns,-2.494 ns,0.000 ns,0.000 ns,-2.750 ns,0.000 ns,0.000 ns,-2.716 ns,0.000 ns,0.000 ns,-2.697 ns,0.000 ns,0.000 ns,-2.792 ns,0.000 ns,0.000 ns,-2.746 ns,0.000 ns,0.000 ns,-2.771 ns,0.000 ns,0.000 ns,-2.714 ns,0.000 ns,0.000 ns,-2.737 ns,0.000 ns,0.000 ns,-2.741 ns,0.000 ns,0.000 ns,-2.754 ns,0.000 ns,0.000 ns,-2.707 ns,0.000 ns,0.000 ns,-2.568 ns,0.000 ns,0.000 ns,-2.718 ns,0.000 ns,0.000 ns,-2.724 ns,0.000 ns,0.000 ns,-2.722 ns,0.000 ns,0.000 ns,-2.702 ns,0.000 ns,0.000 ns,-2.677 ns,0.000 ns,0.000 ns,-2.734 ns,0.000 ns,0.000 ns,-2.712 ns,0.000 ns,0.000 ns,-2.781 ns,0.000 ns,0.000 ns,-2.746 ns,0.000 ns,0.000 ns,-2.783 ns,0.000 ns,0.000 ns,-2.658 ns,0.000 ns,0.000 ns,-2.818 ns,0.000 ns,0.000 ns,-2.785 ns
Clock Hold: 'sopc_clk': Worst-case Slack,0.006 ns,0.014 ns,-0.019 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.016 ns,0.014 ns,-0.019 ns,0.020 ns,0.015 ns,-0.017 ns,0.019 ns,0.014 ns,-0.017 ns,0.019 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.008 ns,0.014 ns,-0.030 ns,-0.018 ns,0.004 ns,-0.049 ns,0.018 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.016 ns,0.014 ns,-0.022 ns,0.020 ns,0.015 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.006 ns,0.015 ns,-0.017 ns,0.020 ns,0.015 ns,-0.017 ns,0.020 ns,0.015 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.015 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.015 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.020 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.015 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.014 ns,0.014 ns,-0.020 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.008 ns,0.015 ns,-0.017 ns,0.020 ns,0.014 ns,-0.017 ns,0.008 ns,0.014 ns,-0.022 ns
